,Action,word,Start_time,End_time,duration,time
0,StartBlockSaying,,2022-06-28 11:13:38.761,2022-06-28 11:13:40.453,866,2022-06-28 11:13:39.155
1,StartReading,TENEDOR,2022-06-28 11:13:40.453,2022-06-28 11:13:41.162,363,2022-06-28 11:13:40.846
2,StartSaying,TENEDOR,2022-06-28 11:13:41.162,2022-06-28 11:13:43.167,1027,2022-06-28 11:13:41.556
3,EndSaying,TENEDOR,2022-06-28 11:13:43.167,2022-06-28 11:13:45.013,945,2022-06-28 11:13:43.562
4,StartReading,OREJA,2022-06-28 11:13:45.013,2022-06-28 11:13:45.726,365,2022-06-28 11:13:45.407
5,StartSaying,OREJA,2022-06-28 11:13:45.726,2022-06-28 11:13:47.730,1026,2022-06-28 11:13:46.120
6,EndSaying,OREJA,2022-06-28 11:13:47.730,2022-06-28 11:13:49.246,776,2022-06-28 11:13:48.125
7,StartReading,CUCHILLO,2022-06-28 11:13:49.246,2022-06-28 11:13:49.955,363,2022-06-28 11:13:49.640
8,StartSaying,CUCHILLO,2022-06-28 11:13:49.955,2022-06-28 11:13:51.960,1027,2022-06-28 11:13:50.349
9,EndSaying,CUCHILLO,2022-06-28 11:13:51.960,2022-06-28 11:13:53.970,1029,2022-06-28 11:13:52.354
10,StartReading,TOMATE,2022-06-28 11:13:53.970,2022-06-28 11:13:54.767,408,2022-06-28 11:13:54.365
11,StartSaying,TOMATE,2022-06-28 11:13:54.767,2022-06-28 11:13:56.771,1026,2022-06-28 11:13:55.162
12,EndSaying,TOMATE,2022-06-28 11:13:56.771,2022-06-28 11:13:58.542,907,2022-06-28 11:13:57.167
13,StartReading,LEÓN,2022-06-28 11:13:58.542,2022-06-28 11:13:59.251,363,2022-06-28 11:13:58.936
14,StartSaying,LEÓN,2022-06-28 11:13:59.251,2022-06-28 11:14:01.255,1026,2022-06-28 11:13:59.647
15,EndSaying,LEÓN,2022-06-28 11:14:01.255,2022-06-28 11:14:02.830,806,2022-06-28 11:14:01.651
16,StartReading,LECHUGA,2022-06-28 11:14:02.830,2022-06-28 11:14:03.539,363,2022-06-28 11:14:03.224
17,EndReading,LECHUGA,2022-06-28 11:14:03.539,2022-06-28 11:14:05.542,1026,2022-06-28 11:14:03.935
18,EndSaying,LECHUGA,2022-06-28 11:14:05.542,2022-06-28 11:14:07.398,950,2022-06-28 11:14:05.939
19,StartReading,CUCHARA,2022-06-28 11:14:07.398,2022-06-28 11:14:08.107,363,2022-06-28 11:14:07.792
20,StartSaying,CUCHARA,2022-06-28 11:14:08.107,2022-06-28 11:14:10.111,1026,2022-06-28 11:14:08.502
21,EndSaying,CUCHARA,2022-06-28 11:14:10.111,2022-06-28 11:14:11.810,870,2022-06-28 11:14:10.506
22,StartReading,MANO,2022-06-28 11:14:11.810,2022-06-28 11:14:12.519,363,2022-06-28 11:14:12.206
23,StartSaying,MANO,2022-06-28 11:14:12.519,2022-06-28 11:14:14.525,1027,2022-06-28 11:14:12.915
24,EndSaying,MANO,2022-06-28 11:14:14.525,2022-06-28 11:14:16.365,942,2022-06-28 11:14:14.921
25,StartReading,COPA,2022-06-28 11:14:16.365,2022-06-28 11:14:17.078,365,2022-06-28 11:14:16.761
26,StartSaying,COPA,2022-06-28 11:14:17.078,2022-06-28 11:14:19.083,1027,2022-06-28 11:14:17.474
27,EndSaying,COPA,2022-06-28 11:14:19.083,2022-06-28 11:14:20.988,975,2022-06-28 11:14:19.479
28,StartReading,NARANJA,2022-06-28 11:14:20.988,2022-06-28 11:14:21.701,365,2022-06-28 11:14:21.385
29,StartSaying,NARANJA,2022-06-28 11:14:21.701,2022-06-28 11:14:23.707,1027,2022-06-28 11:14:22.096
30,EndSaying,NARANJA,2022-06-28 11:14:23.707,2022-06-28 11:14:26.271,1313,2022-06-28 11:14:24.101
31,StartBlockThinking,,2022-06-28 11:14:26.271,2022-06-28 11:14:28.201,988,2022-06-28 11:14:26.668
32,StartReading,OREJA,2022-06-28 11:14:28.201,2022-06-28 11:14:28.908,362,2022-06-28 11:14:28.596
33,StartSaying,OREJA,2022-06-28 11:14:28.908,2022-06-28 11:14:30.914,1027,2022-06-28 11:14:29.305
34,EndSaying,OREJA,2022-06-28 11:14:30.914,2022-06-28 11:14:32.771,951,2022-06-28 11:14:31.310
35,StartReading,GUITARRA,2022-06-28 11:14:32.771,2022-06-28 11:14:33.480,363,2022-06-28 11:14:33.167
36,StartSaying,GUITARRA,2022-06-28 11:14:33.480,2022-06-28 11:14:35.484,1026,2022-06-28 11:14:33.877
37,EndSaying,GUITARRA,2022-06-28 11:14:35.484,2022-06-28 11:14:37.482,1023,2022-06-28 11:14:35.881
38,StartReading,FLAUTA,2022-06-28 11:14:37.482,2022-06-28 11:14:38.191,363,2022-06-28 11:14:37.879
39,StartSaying,FLAUTA,2022-06-28 11:14:38.191,2022-06-28 11:14:40.199,1028,2022-06-28 11:14:38.588
40,EndSaying,FLAUTA,2022-06-28 11:14:40.199,2022-06-28 11:14:42.072,959,2022-06-28 11:14:40.595
41,StartReading,NARANJA,2022-06-28 11:14:42.072,2022-06-28 11:14:42.789,367,2022-06-28 11:14:42.470
42,StartSaying,NARANJA,2022-06-28 11:14:42.789,2022-06-28 11:14:44.792,1026,2022-06-28 11:14:43.185
43,EndSaying,NARANJA,2022-06-28 11:14:44.792,2022-06-28 11:14:46.361,803,2022-06-28 11:14:45.190
44,StartReading,MANZANA,2022-06-28 11:14:46.361,2022-06-28 11:14:47.072,364,2022-06-28 11:14:46.760
45,StartSaying,MANZANA,2022-06-28 11:14:47.072,2022-06-28 11:14:49.078,1027,2022-06-28 11:14:47.470
46,EndSaying,MANZANA,2022-06-28 11:14:49.078,2022-06-28 11:14:50.861,913,2022-06-28 11:14:49.474
47,StartReading,COPA,2022-06-28 11:14:50.861,2022-06-28 11:14:51.574,365,2022-06-28 11:14:51.259
48,StartSaying,COPA,2022-06-28 11:14:51.574,2022-06-28 11:14:53.580,1027,2022-06-28 11:14:51.973
49,EndSaying,COPA,2022-06-28 11:14:53.580,2022-06-28 11:14:55.560,1014,2022-06-28 11:14:53.977
50,StartReading,PIE,2022-06-28 11:14:55.560,2022-06-28 11:14:56.271,364,2022-06-28 11:14:55.958
51,StartSaying,PIE,2022-06-28 11:14:56.271,2022-06-28 11:14:58.275,1026,2022-06-28 11:14:56.668
52,EndSaying,PIE,2022-06-28 11:14:58.275,2022-06-28 11:15:00.191,981,2022-06-28 11:14:58.673
53,StartReading,TENEDOR,2022-06-28 11:15:00.191,2022-06-28 11:15:00.902,364,2022-06-28 11:15:00.590
54,StartSaying,TENEDOR,2022-06-28 11:15:00.902,2022-06-28 11:15:02.906,1026,2022-06-28 11:15:01.300
55,EndSaying,TENEDOR,2022-06-28 11:15:02.906,2022-06-28 11:15:04.728,933,2022-06-28 11:15:03.305
56,StartReading,LEÓN,2022-06-28 11:15:04.728,2022-06-28 11:15:05.435,362,2022-06-28 11:15:05.126
57,StartSaying,LEÓN,2022-06-28 11:15:05.435,2022-06-28 11:15:07.441,1027,2022-06-28 11:15:05.835
58,EndSaying,LEÓN,2022-06-28 11:15:07.441,2022-06-28 11:15:08.998,797,2022-06-28 11:15:07.839
59,StartReading,TOMATE,2022-06-28 11:15:08.998,2022-06-28 11:15:09.712,366,2022-06-28 11:15:09.397
60,StartSaying,TOMATE,2022-06-28 11:15:09.712,2022-06-28 11:15:11.718,1027,2022-06-28 11:15:10.111
61,EndSaying,TOMATE,2022-06-28 11:15:11.718,2022-06-28 11:15:14.363,1354,2022-06-28 11:15:12.118
62,StartBlockSaying,,2022-06-28 11:15:14.363,2022-06-28 11:15:15.900,787,2022-06-28 11:15:14.762
63,StartReading,FLAUTA,2022-06-28 11:15:15.900,2022-06-28 11:15:16.615,366,2022-06-28 11:15:16.299
64,StartSaying,FLAUTA,2022-06-28 11:15:16.615,2022-06-28 11:15:18.621,1027,2022-06-28 11:15:17.013
65,EndSaying,FLAUTA,2022-06-28 11:15:18.621,2022-06-28 11:15:20.371,896,2022-06-28 11:15:19.018
66,StartReading,CABALLO,2022-06-28 11:15:20.371,2022-06-28 11:15:21.080,363,2022-06-28 11:15:20.769
67,StartSaying,CABALLO,2022-06-28 11:15:21.080,2022-06-28 11:15:23.085,1027,2022-06-28 11:15:21.479
68,EndSaying,CABALLO,2022-06-28 11:15:23.085,2022-06-28 11:15:24.861,909,2022-06-28 11:15:23.484
69,StartReading,PANTALÓN,2022-06-28 11:15:24.861,2022-06-28 11:15:25.570,363,2022-06-28 11:15:25.260
70,StartSaying,PANTALÓN,2022-06-28 11:15:25.570,2022-06-28 11:15:27.578,1028,2022-06-28 11:15:25.970
71,EndSaying,PANTALÓN,2022-06-28 11:15:27.578,2022-06-28 11:15:29.386,926,2022-06-28 11:15:27.977
72,StartReading,PIE,2022-06-28 11:15:29.386,2022-06-28 11:15:30.097,364,2022-06-28 11:15:29.787
73,StartSaying,PIE,2022-06-28 11:15:30.097,2022-06-28 11:15:32.101,1026,2022-06-28 11:15:30.497
74,EndSaying,PIE,2022-06-28 11:15:32.101,2022-06-28 11:15:34.005,975,2022-06-28 11:15:32.501
75,StartReading,ZAPATO,2022-06-28 11:15:34.005,2022-06-28 11:15:34.718,365,2022-06-28 11:15:34.405
76,StartSaying,ZAPATO,2022-06-28 11:15:34.718,2022-06-28 11:15:36.722,1026,2022-06-28 11:15:35.119
77,EndSaying,ZAPATO,2022-06-28 11:15:36.722,2022-06-28 11:15:38.296,806,2022-06-28 11:15:37.124
78,StartReading,RODILLA,2022-06-28 11:15:38.296,2022-06-28 11:15:39.009,365,2022-06-28 11:15:38.697
79,StartSaying,RODILLA,2022-06-28 11:15:39.009,2022-06-28 11:15:41.015,1027,2022-06-28 11:15:39.410
80,EndSaying,RODILLA,2022-06-28 11:15:41.015,2022-06-28 11:15:42.554,788,2022-06-28 11:15:41.415
81,StartReading,MANZANA,2022-06-28 11:15:42.554,2022-06-28 11:15:43.267,365,2022-06-28 11:15:42.955
82,StartSaying,MANZANA,2022-06-28 11:15:43.267,2022-06-28 11:15:45.271,1026,2022-06-28 11:15:43.667
83,EndSaying,MANZANA,2022-06-28 11:15:45.271,2022-06-28 11:15:46.851,809,2022-06-28 11:15:45.671
84,StartReading,JIRAFA,2022-06-28 11:15:46.851,2022-06-28 11:15:47.560,363,2022-06-28 11:15:47.253
85,StartSaying,JIRAFA,2022-06-28 11:15:47.560,2022-06-28 11:15:49.564,1026,2022-06-28 11:15:47.962
86,EndSaying,JIRAFA,2022-06-28 11:15:49.564,2022-06-28 11:15:51.443,962,2022-06-28 11:15:49.966
87,StartReading,GUITARRA,2022-06-28 11:15:51.443,2022-06-28 11:15:52.156,365,2022-06-28 11:15:51.844
88,StartSaying,GUITARRA,2022-06-28 11:15:52.156,2022-06-28 11:15:54.160,1026,2022-06-28 11:15:52.557
89,EndSaying,GUITARRA,2022-06-28 11:15:54.160,2022-06-28 11:15:56.072,979,2022-06-28 11:15:54.561
90,StartReading,OJO,2022-06-28 11:15:56.072,2022-06-28 11:15:56.785,365,2022-06-28 11:15:56.474
91,StartSaying,OJO,2022-06-28 11:15:56.785,2022-06-28 11:15:58.789,1026,2022-06-28 11:15:57.185
92,EndSaying,OJO,2022-06-28 11:15:58.789,2022-06-28 11:16:00.986,1125,2022-06-28 11:15:59.190
93,StartBlockThinking,,2022-06-28 11:16:00.986,2022-06-28 11:16:02.941,1001,2022-06-28 11:16:01.388
94,StartReading,MANO,2022-06-28 11:16:02.941,2022-06-28 11:16:03.652,364,2022-06-28 11:16:03.343
95,StartSaying,MANO,2022-06-28 11:16:03.652,2022-06-28 11:16:05.660,1028,2022-06-28 11:16:04.054
96,EndSaying,MANO,2022-06-28 11:16:05.660,2022-06-28 11:16:07.570,978,2022-06-28 11:16:06.062
97,StartReading,GATO,2022-06-28 11:16:07.570,2022-06-28 11:16:08.287,367,2022-06-28 11:16:07.972
98,StartSaying,GATO,2022-06-28 11:16:08.287,2022-06-28 11:16:10.292,1027,2022-06-28 11:16:08.689
99,EndSaying,GATO,2022-06-28 11:16:10.292,2022-06-28 11:16:12.179,966,2022-06-28 11:16:10.694
100,StartReading,CUCHILLO,2022-06-28 11:16:12.179,2022-06-28 11:16:12.890,364,2022-06-28 11:16:12.582
101,StartSaying,CUCHILLO,2022-06-28 11:16:12.890,2022-06-28 11:16:14.898,1028,2022-06-28 11:16:13.292
102,EndSaying,CUCHILLO,2022-06-28 11:16:14.898,2022-06-28 11:16:16.476,808,2022-06-28 11:16:15.299
103,StartReading,CALCETÍN,2022-06-28 11:16:16.476,2022-06-28 11:16:17.185,363,2022-06-28 11:16:16.878
104,StartSaying,CALCETÍN,2022-06-28 11:16:17.185,2022-06-28 11:16:19.189,1026,2022-06-28 11:16:17.587
105,EndSaying,CALCETÍN,2022-06-28 11:16:19.189,2022-06-28 11:16:20.841,846,2022-06-28 11:16:19.591
106,StartReading,CUCHARA,2022-06-28 11:16:20.841,2022-06-28 11:16:21.552,364,2022-06-28 11:16:21.244
107,StartSaying,CUCHARA,2022-06-28 11:16:21.552,2022-06-28 11:16:23.556,1026,2022-06-28 11:16:21.956
108,EndSaying,CUCHARA,2022-06-28 11:16:23.556,2022-06-28 11:16:25.287,886,2022-06-28 11:16:23.960
109,StartReading,PLATO,2022-06-28 11:16:25.287,2022-06-28 11:16:26.000,365,2022-06-28 11:16:25.688
110,StartSaying,PLATO,2022-06-28 11:16:26.000,2022-06-28 11:16:28.003,1026,2022-06-28 11:16:26.402
111,EndSaying,PLATO,2022-06-28 11:16:28.003,2022-06-28 11:16:29.585,810,2022-06-28 11:16:28.407
112,StartReading,VIOLÍN,2022-06-28 11:16:29.585,2022-06-28 11:16:30.298,365,2022-06-28 11:16:29.990
113,StartSaying,VIOLÍN,2022-06-28 11:16:30.298,2022-06-28 11:16:32.302,1026,2022-06-28 11:16:30.702
114,EndSaying,VIOLÍN,2022-06-28 11:16:32.302,2022-06-28 11:16:33.839,787,2022-06-28 11:16:32.707
115,StartReading,OJO,2022-06-28 11:16:33.839,2022-06-28 11:16:34.550,364,2022-06-28 11:16:34.244
116,StartSaying,OJO,2022-06-28 11:16:34.550,2022-06-28 11:16:36.554,1026,2022-06-28 11:16:34.953
117,EndSaying,OJO,2022-06-28 11:16:36.554,2022-06-28 11:16:38.468,980,2022-06-28 11:16:36.957
